Image Data,Label
[0.83137256 0.83137256 0.83137256 ... 0.1764706  0.14901961 0.16470589],0
[0.3882353  0.39215687 0.5058824  ... 0.28235295 0.2784314  0.24705882],0
[0.8980392  0.90588236 0.91764706 ... 0.17254902 0.17254902 0.09411765],0
[0.8235294  0.78431374 0.7882353  ... 0.4745098  0.45490196 0.4745098 ],0
[0.3019608  0.30980393 0.29411766 ... 0.23137255 0.23921569 0.23137255],0
[0.54901963 0.3764706  0.42745098 ... 0.43137255 0.42745098 0.40784314],0
[0.99607843 0.99607843 0.99607843 ... 0.09803922 0.10196079 0.10196079],0
[0.18431373 0.18431373 0.18039216 ... 0.8509804  0.84705883 0.84313726],0
[0.7254902  0.61960787 0.5019608  ... 0.27450982 0.2901961  0.25882354],0
[0.972549   0.96862745 0.9607843  ... 0.27450982 0.21176471 0.23529412],0
[0.44705883 0.48235294 0.50980395 ... 0.05882353 0.07843138 0.07058824],0
[1. 1. 1. ... 1. 1. 1.],0
[0.31764707 0.38431373 0.43529412 ... 0.7294118  0.7411765  0.7529412 ],0
[0.22352941 0.30588236 0.42352942 ... 0.09411765 0.10196079 0.09803922],0
[0.9411765  0.94509804 0.9490196  ... 0.5764706  0.5686275  0.5568628 ],0
[0.32941177 0.32941177 0.32156864 ... 0.5568628  0.56078434 0.5529412 ],0
[0.83137256 0.827451   0.827451   ... 0.16470589 0.16470589 0.21176471],0
[0.38431373 0.3882353  0.39607844 ... 0.         0.         0.        ],0
[0.84705883 0.8509804  0.85882354 ... 0.4745098  0.45882353 0.44705883],0
[0.3647059  0.31764707 0.28235295 ... 0.10196079 0.08627451 0.08627451],0
[0.61960787 0.63529414 0.64705884 ... 0.47058824 0.46666667 0.4627451 ],0
[0.74509805 0.6039216  0.5921569  ... 0.21568628 0.78039217 0.9098039 ],0
[0.6039216 0.6313726 0.6039216 ... 0.6392157 0.6509804 0.654902 ],0
[0.49411765 0.40392157 0.38039216 ... 0.42745098 0.4392157  0.41960785],0
[0.6509804  0.654902   0.65882355 ... 0.41960785 0.42352942 0.4745098 ],0
[0.9607843  0.9529412  0.95686275 ... 0.22352941 0.21568628 0.20392157],0
[0.6039216  0.59607846 0.627451   ... 0.49019608 0.4392157  0.5137255 ],0
[0.45490196 0.4862745  0.36078432 ... 0.5372549  0.5529412  0.5372549 ],0
[0.91764706 0.92156863 0.9254902  ... 0.3254902  0.34117648 0.3254902 ],0
[0.9411765  0.9372549  0.9372549  ... 0.16078432 0.12941177 0.11372549],0
[0.93333334 0.7882353  0.42352942 ... 0.10196079 0.09803922 0.02745098],0
[0.7607843  0.7411765  0.7058824  ... 0.34509805 0.34509805 0.34901962],0
[1.         1.         1.         ... 0.21960784 0.09019608 0.03137255],0
[0.4        0.3882353  0.38431373 ... 0.52156866 0.4862745  0.3882353 ],0
[0.6        0.41568628 0.39607844 ... 0.09019608 0.07450981 0.08235294],0
[0.99215686 0.99215686 0.99607843 ... 0.15686275 0.16862746 0.16862746],0
[0.13725491 0.13725491 0.13725491 ... 0.23529412 0.47843137 0.4862745 ],0
[0.85882354 0.85882354 0.85882354 ... 0.80784315 0.78431374 0.7764706 ],0
[0.34901962 0.34901962 0.34901962 ... 0.63529414 0.69803923 0.5803922 ],0
[0.8352941  0.78431374 0.78431374 ... 0.1254902  0.13333334 0.15686275],0
[0.4745098  0.47058824 0.4509804  ... 0.04705882 0.05098039 0.05882353],0
[0.3764706  0.36078432 0.38431373 ... 0.12941177 0.10980392 0.07058824],0
[0.6039216  0.62352943 0.627451   ... 0.2627451  0.21176471 0.3137255 ],0
[0.8666667  0.87058824 0.8745098  ... 0.5411765  0.5254902  0.5411765 ],0
[0.26666668 0.27058825 0.4117647  ... 0.5686275  0.58431375 0.6117647 ],0
[0.78431374 0.78039217 0.76862746 ... 0.47058824 0.46666667 0.48235294],0
[0.99607843 0.99607843 0.99607843 ... 0.29411766 0.24313726 0.22352941],0
[0.6784314  0.59607846 0.49803922 ... 0.8392157  0.60784316 0.72156864],0
[0.76862746 0.7882353  0.80784315 ... 0.09411765 0.09803922 0.10588235],0
[0.09019608 0.20784314 0.20784314 ... 0.15294118 0.13725491 0.09411765],0
[0.13725491 0.13725491 0.13333334 ... 0.25882354 0.25882354 0.5294118 ],0
[0.99215686 0.99215686 0.99215686 ... 0.14117648 0.07843138 0.2784314 ],0
[0.00784314 0.00784314 0.00784314 ... 0.10980392 0.12941177 0.1764706 ],0
[0.96862745 0.9882353  1.         ... 0.45882353 0.4392157  0.42352942],0
[0.05882353 0.11372549 0.05490196 ... 0.18039216 0.19215687 0.18431373],0
[0.7254902  0.7294118  0.7411765  ... 0.42745098 0.4117647  0.39607844],0
[0.972549   0.96862745 0.972549   ... 0.5019608  0.5019608  0.49411765],0
[0.6392157  0.6745098  0.70980394 ... 0.29411766 0.29411766 0.13333334],0
[0.10588235 0.10588235 0.09803922 ... 0.14901961 0.16862746 0.02352941],0
[0.4745098  0.58431375 0.6156863  ... 0.09803922 0.11764706 0.07450981],0
[0.13333334 0.15294118 0.17254902 ... 0.02745098 0.02352941 0.02352941],0
[0.99607843 0.99607843 0.99607843 ... 0.38431373 0.39607844 0.40392157],0
[0.47843137 0.49019608 0.49411765 ... 0.14509805 0.13333334 0.13725491],0
[0.70980394 0.7254902  0.74509805 ... 0.29803923 0.2901961  0.2784314 ],0
[0.99215686 0.81960785 0.65882355 ... 0.41960785 0.38039216 0.30980393],0
[0.69411767 0.5921569  0.627451   ... 0.3372549  0.3372549  0.17254902],0
[0.11764706 0.11764706 0.20392157 ... 0.3372549  0.35686275 0.27450982],0
[0.00392157 0.00392157 0.00392157 ... 0.42352942 0.42745098 0.50980395],0
[0.25882354 0.27058825 0.2784314  ... 0.08235294 0.07058824 0.09019608],0
[0.4627451  0.5529412  0.5921569  ... 0.5686275  0.57254905 0.5137255 ],0
[0.92941177 0.92941177 0.92941177 ... 0.44313726 0.42745098 0.41568628],0
[0.42352942 0.46666667 0.47843137 ... 0.54509807 0.57254905 0.5921569 ],0
[0.61960787 0.41568628 0.36862746 ... 0.40784314 0.37254903 0.4       ],0
[0.09803922 0.08627451 0.07843138 ... 0.33333334 0.34117648 0.23137255],0
[0.827451   0.7529412  0.8        ... 0.32156864 0.34117648 0.30588236],0
[0.5764706  0.5137255  0.39607844 ... 0.22352941 0.27450982 0.29411766],0
[0.47843137 0.47058824 0.4509804  ... 0.39607844 0.24313726 0.04705882],0
[0.15686275 0.15686275 0.16470589 ... 0.17254902 0.1254902  0.10980392],0
[0.6862745  0.6392157  0.6431373  ... 0.12156863 0.11372549 0.10980392],0
[0.78039217 0.78039217 0.7921569  ... 0.2784314  0.29411766 0.3019608 ],0
[0.8117647  0.8156863  0.8156863  ... 0.24313726 0.23529412 0.23137255],0
[0.56078434 0.5176471  0.50980395 ... 0.50980395 0.5137255  0.5137255 ],0
[0.33333334 0.33333334 0.3372549  ... 0.10196079 0.10980392 0.10588235],0
[0.4117647  0.827451   0.8901961  ... 0.29803923 0.2627451  0.16862746],0
[0.6431373  0.6313726  0.62352943 ... 0.49019608 0.50980395 0.5137255 ],0
[0.07843138 0.10196079 0.12156863 ... 0.04705882 0.05098039 0.0627451 ],0
[0.63529414 0.6313726  0.6313726  ... 0.2784314  0.3882353  0.41568628],0
[0.22745098 0.23529412 0.20392157 ... 0.05490196 0.04313726 0.02745098],0
[0.91764706 0.83137256 0.73333335 ... 0.43137255 0.57254905 0.57254905],0
[0.827451   0.5254902  0.6509804  ... 0.4627451  0.27058825 0.16862746],0
[0.22745098 0.24705882 0.2        ... 0.24313726 0.2784314  0.21176471],0
[0.9882353  0.9843137  0.9843137  ... 0.67058825 0.67058825 0.6745098 ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.26666668 0.27058825 0.2784314  ... 0.21960784 0.21960784 0.19607843],0
[0.27058825 0.27450982 0.2784314  ... 0.23921569 0.24313726 0.24313726],0
[0.3529412  0.3529412  0.3529412  ... 0.39607844 0.4        0.30980393],0
[0.41960785 0.4627451  0.6        ... 0.35686275 0.40392157 0.37254903],0
[0.95686275 0.9647059  0.96862745 ... 0.09803922 0.08627451 0.08627451],0
[0.40392157 0.52156866 0.5176471  ... 0.5921569  0.59607846 0.5882353 ],0
[0.26666668 0.24313726 0.32941177 ... 0.00392157 0.00784314 0.00784314],0
[0.9098039  0.9098039  0.89411765 ... 0.4392157  0.4392157  0.5529412 ],0
[0.73333335 0.7372549  0.7490196  ... 0.20392157 0.20784314 0.07058824],0
[0.23529412 0.1882353  0.27058825 ... 0.47843137 0.5058824  0.49411765],0
[0.9372549  0.93333334 0.9137255  ... 0.5254902  0.53333336 0.5411765 ],0
[0.6156863  0.6156863  0.61960787 ... 0.21960784 0.1764706  0.24705882],0
[0.64705884 0.61960787 0.60784316 ... 0.09019608 0.09411765 0.11764706],0
[0.34117648 0.34509805 0.34509805 ... 0.3764706  0.26666668 0.0627451 ],0
[0.84705883 0.8627451  0.84705883 ... 0.27450982 0.29411766 0.23921569],0
[0.         0.         0.         ... 0.02745098 0.03137255 0.03137255],0
[0.6392157  0.65882355 0.6784314  ... 0.1254902  0.08627451 0.06666667],0
[0.7764706  0.78431374 0.7176471  ... 0.19607843 0.03137255 0.03921569],0
[0.15686275 0.15686275 0.16078432 ... 0.7411765  0.69411767 0.49411765],0
[0.24313726 0.24705882 0.25882354 ... 0.37254903 0.34117648 0.34117648],0
[0.6745098  0.6901961  0.7176471  ... 0.15686275 0.14509805 0.12941177],0
[0.48235294 0.5647059  0.5529412  ... 0.60784316 0.627451   0.627451  ],0
[0.6392157  0.62352943 0.6156863  ... 0.02745098 0.03137255 0.02745098],0
[0.9490196  0.57254905 0.19215687 ... 0.32156864 0.3529412  0.36078432],0
[0.50980395 0.5294118  0.54509807 ... 0.13333334 0.08627451 0.02745098],0
[0.7254902  0.7921569  0.827451   ... 0.21568628 0.23137255 0.23921569],0
[0.5411765  0.5411765  0.54509807 ... 0.03921569 0.03137255 0.03137255],0
[0.38431373 0.29411766 0.29803923 ... 0.03137255 0.03529412 0.02745098],0
[0.99215686 0.99607843 0.99215686 ... 0.18431373 0.18431373 0.1882353 ],0
[0.18431373 0.23529412 0.22745098 ... 0.3372549  0.3137255  0.28235295],0
[0.65882355 0.6627451  0.6666667  ... 0.29803923 0.3372549  0.34509805],0
[0.1882353  0.2627451  0.23137255 ... 0.45490196 0.28235295 0.2627451 ],0
[1.         1.         1.         ... 0.08627451 0.08627451 0.07843138],0
[0.69803923 0.6666667  0.44313726 ... 0.40784314 0.4        0.35686275],0
[0.74509805 0.74509805 0.7490196  ... 0.5411765  0.5411765  0.5254902 ],0
[0.45490196 0.4627451  0.48235294 ... 0.01176471 0.01568628 0.00784314],0
[0.83137256 0.827451   0.8235294  ... 0.17254902 0.16078432 0.23529412],0
[0.19215687 0.40392157 0.44705883 ... 0.7921569  0.8        0.8       ],0
[0.03921569 0.03921569 0.04313726 ... 0.01960784 0.06666667 0.05098039],0
[0.3529412  0.36078432 0.37254903 ... 0.3254902  0.4392157  0.32156864],0
[0.29411766 0.43529412 0.2784314  ... 0.8392157  0.7607843  0.72156864],0
[0.26666668 0.24313726 0.28627452 ... 0.54901963 0.4745098  0.5254902 ],0
[0.21960784 0.2509804  0.28627452 ... 0.34901962 0.33333334 0.3137255 ],0
[0.         0.00392157 0.         ... 0.06666667 0.07058824 0.03529412],0
[0.6509804  0.654902   0.65882355 ... 0.2        0.11764706 0.10588235],0
[0.83137256 0.91764706 0.93333334 ... 0.37254903 0.37254903 0.36862746],0
[0.13333334 0.10588235 0.09019608 ... 0.21960784 0.07450981 0.02745098],0
[0.0627451  0.07058824 0.07058824 ... 0.44705883 0.46666667 0.4745098 ],0
[0.54901963 0.59607846 0.62352943 ... 0.89411765 0.8980392  0.8       ],0
[0.8039216  0.8392157  0.972549   ... 0.13333334 0.1254902  0.10588235],0
[0.92156863 0.9411765  0.93333334 ... 0.10980392 0.10196079 0.07843138],0
[0.50980395 0.50980395 0.5058824  ... 0.21568628 0.13725491 0.14901961],0
[0.7294118  0.5686275  0.60784316 ... 0.6627451  0.7764706  0.6901961 ],0
[0.3764706  0.38431373 0.39215687 ... 0.45490196 0.34509805 0.25490198],0
[0.02745098 0.03529412 0.04313726 ... 0.03529412 0.02745098 0.02352941],0
[0.03529412 0.03921569 0.03529412 ... 0.05098039 0.05098039 0.05098039],0
[0.99607843 0.99215686 0.9372549  ... 0.5529412  0.57254905 0.47843137],0
[0.57254905 0.57254905 0.5803922  ... 0.2        0.13333334 0.09411765],0
[0.08235294 0.16470589 0.11372549 ... 0.5529412  0.56078434 0.52156866],0
[0.827451   0.84313726 0.84313726 ... 0.01568628 0.01960784 0.01176471],0
[0.89411765 0.89411765 0.8980392  ... 0.2901961  0.28627452 0.32156864],0
[0.77254903 0.7764706  0.78039217 ... 0.27450982 0.31764707 0.30980393],0
[0.57254905 0.5921569  0.60784316 ... 0.27450982 0.22352941 0.05882353],0
[0.49019608 0.654902   0.80784315 ... 0.2        0.23529412 0.28627452],0
[0.46666667 0.4627451  0.4509804  ... 0.43529412 0.5921569  0.5921569 ],0
[0.8392157  0.8862745  0.94509804 ... 0.28627452 0.29411766 0.3529412 ],0
[0.44313726 0.44313726 0.44313726 ... 0.16078432 0.18039216 0.18039216],0
[0.00392157 0.         0.         ... 0.05098039 0.0627451  0.08235294],0
[0.9372549  0.9372549  0.8352941  ... 0.23529412 0.23529412 0.23921569],0
[0.80784315 0.9372549  0.9529412  ... 0.41568628 0.4392157  0.3019608 ],0
[0.90588236 0.9137255  0.9254902  ... 0.32156864 0.3372549  0.34117648],0
[0.9411765  0.89411765 0.8745098  ... 0.39607844 0.39215687 0.39215687],0
[0.30980393 0.34901962 0.3019608  ... 0.50980395 0.5254902  0.47843137],0
[0.4862745  0.49411765 0.49019608 ... 0.04705882 0.03921569 0.04705882],0
[0.5294118  0.4745098  0.50980395 ... 0.38431373 0.3764706  0.42352942],0
[0.84705883 0.84705883 0.8509804  ... 0.10588235 0.10196079 0.1254902 ],0
[0.63529414 0.6313726  0.6313726  ... 0.13725491 0.17254902 0.21568628],0
[0.99215686 1.         1.         ... 0.15294118 0.09803922 0.08627451],0
[1.         0.9764706  0.90588236 ... 0.7372549  0.7294118  0.72156864],0
[0.85490197 0.84313726 0.83137256 ... 0.47058824 0.4862745  0.4745098 ],0
[0.20784314 0.36862746 0.6666667  ... 0.90588236 0.9019608  0.90588236],0
[0.7921569 0.7882353 0.7882353 ... 0.6039216 0.6039216 0.6      ],0
[0.6666667  0.64705884 0.62352943 ... 0.3764706  0.43137255 0.45490196],0
[0.41960785 0.4117647  0.3882353  ... 0.24313726 0.21176471 0.17254902],0
[0.50980395 0.49411765 0.36078432 ... 0.25882354 0.11372549 0.08235294],0
[0.49019608 0.5058824  0.52156866 ... 0.49803922 0.57254905 0.49411765],0
[0.7882353  0.6156863  0.6313726  ... 0.13725491 0.21176471 0.21568628],0
[0.30980393 0.34901962 0.42352942 ... 0.3882353  0.2784314  0.29803923],0
[0.6862745  0.7176471  0.73333335 ... 0.33333334 0.3372549  0.3647059 ],0
[0.6156863  0.6784314  0.6862745  ... 0.22745098 0.24313726 0.25882354],0
[0.8980392  0.89411765 0.89411765 ... 0.22352941 0.21960784 0.21960784],0
[0.7921569  0.96862745 1.         ... 0.42352942 0.42352942 0.42745098],0
[0.6666667  0.6862745  0.69803923 ... 0.40784314 0.21960784 0.1882353 ],0
[0.06666667 0.11764706 0.10588235 ... 0.03921569 0.01568628 0.02745098],0
[0.6745098  0.59607846 0.7372549  ... 0.13725491 0.14509805 0.14117648],0
[0.9490196  0.9607843  0.9607843  ... 0.1764706  0.16862746 0.19607843],0
[0.28627452 0.28627452 0.2901961  ... 0.32941177 0.39215687 0.38431373],0
[0.01176471 0.01176471 0.01176471 ... 0.09019608 0.08235294 0.09019608],0
[0.21568628 0.18431373 0.16078432 ... 0.6156863  0.65882355 0.654902  ],0
[0.61960787 0.5882353  0.5254902  ... 0.11764706 0.08235294 0.11764706],0
[0.16862746 0.2509804  0.20392157 ... 0.1882353  0.1764706  0.16078432],0
[0.6666667  0.6784314  0.6666667  ... 0.18039216 0.14901961 0.12156863],0
[0.09803922 0.10196079 0.10980392 ... 0.18039216 0.17254902 0.14117648],0
[0.5254902  0.5176471  0.5176471  ... 0.26666668 0.25490198 0.2784314 ],0
[0.15686275 0.28235295 0.20784314 ... 0.16470589 0.17254902 0.16078432],0
[0.81960785 0.75686276 0.7411765  ... 0.32156864 0.49019608 0.6039216 ],0
[0.7882353  0.8039216  0.8156863  ... 0.21176471 0.21176471 0.20784314],0
[0.24313726 0.23921569 0.24313726 ... 0.4509804  0.44705883 0.4509804 ],0
[0.63529414 0.6431373  0.64705884 ... 0.10196079 0.10196079 0.11372549],0
[0.3764706  0.34509805 0.30588236 ... 0.24313726 0.3019608  0.39215687],0
[0.34901962 0.35686275 0.36862746 ... 0.18431373 0.25490198 0.2901961 ],0
[0.49019608 0.5019608  0.4862745  ... 0.3372549  0.38431373 0.3764706 ],0
[0.1254902  0.11372549 0.09803922 ... 0.3764706  0.4509804  0.52156866],0
[0.73333335 0.7372549  0.73333335 ... 0.         0.         0.        ],0
[0.42352942 0.43137255 0.8039216  ... 0.39215687 0.39215687 0.3882353 ],0
[0.78039217 0.76862746 0.7607843  ... 0.50980395 0.47058824 0.5294118 ],0
[0.7372549  0.42745098 0.2784314  ... 0.4509804  0.5019608  0.54509807],0
[0.73333335 0.78039217 0.8039216  ... 0.06666667 0.11764706 0.09803922],0
[0.6862745  0.8156863  0.9490196  ... 0.63529414 0.65882355 0.67058825],0
[0.6901961  0.69411767 0.58431375 ... 0.14117648 0.08235294 0.0627451 ],0
[0.52156866 0.49019608 0.43137255 ... 0.13725491 0.13333334 0.13725491],0
[0.6627451  0.5647059  0.54901963 ... 0.3882353  0.3882353  0.40392157],0
[0.44705883 0.7411765  0.80784315 ... 0.8352941  0.87058824 0.85882354],0
[0.35686275 0.34117648 0.32941177 ... 0.03137255 0.03529412 0.03137255],0
[0.3254902  0.27450982 0.32941177 ... 0.21176471 0.1764706  0.15294118],0
[0.6431373  0.54901963 0.5058824  ... 0.7607843  0.78431374 0.827451  ],0
[0.89411765 0.9019608  0.9137255  ... 0.08235294 0.09803922 0.07843138],0
[0.3137255  0.37254903 0.3764706  ... 0.01176471 0.00784314 0.00784314],0
[0.45882353 0.43137255 0.4117647  ... 0.26666668 0.2784314  0.2901961 ],0
[0.75686276 0.77254903 0.78431374 ... 0.39215687 0.38039216 0.38039216],0
[0.5254902  0.5254902  0.5254902  ... 0.09019608 0.08235294 0.07843138],0
[0.9411765  0.9490196  0.95686275 ... 0.14509805 0.14117648 0.1254902 ],0
[0.5921569 0.5921569 0.6039216 ... 0.4745098 0.5137255 0.5294118],0
[0.6156863  0.6156863  0.60784316 ... 0.21176471 0.14901961 0.12941177],0
[0.8745098  0.8745098  0.8745098  ... 0.23921569 0.18431373 0.2509804 ],0
[0.32156864 0.3254902  0.3254902  ... 0.1882353  0.18039216 0.1764706 ],0
[0.         0.         0.         ... 0.04313726 0.04313726 0.05882353],0
[0.14509805 0.25490198 0.46666667 ... 0.5764706  0.48235294 0.29803923],0
[0.4509804  0.33333334 0.32156864 ... 0.13333334 0.06666667 0.18039216],0
[0.7254902  0.72156864 0.7058824  ... 0.03137255 0.06666667 0.08627451],0
[0.6745098  0.6901961  0.40392157 ... 0.37254903 0.40784314 0.24313726],0
[0.47843137 0.1882353  0.27450982 ... 0.36078432 0.3764706  0.4117647 ],0
[0.8627451  0.8627451  0.8627451  ... 0.16862746 0.16078432 0.14901961],0
[0.4392157  0.42745098 0.3882353  ... 0.         0.         0.        ],0
[0.39215687 0.49803922 0.5372549  ... 0.16470589 0.23137255 0.3019608 ],0
[0.76862746 0.76862746 0.7764706  ... 0.3254902  0.33333334 0.33333334],0
[0.47843137 0.4745098  0.47058824 ... 0.05882353 0.06666667 0.14901961],0
[0.79607844 0.85882354 0.50980395 ... 0.20392157 0.10980392 0.08627451],0
[0.34117648 0.36862746 0.39607844 ... 0.07843138 0.06666667 0.06666667],0
[0.61960787 0.41568628 0.15686275 ... 0.4117647  0.40392157 0.39215687],0
[0.75686276 0.78039217 0.81960785 ... 0.6784314  0.654902   0.654902  ],0
[1.         1.         1.         ... 0.10980392 0.08235294 0.10196079],0
[0.23921569 0.23529412 0.23921569 ... 0.99215686 0.9882353  0.9882353 ],0
[0.69411767 0.6745098  0.67058825 ... 0.04705882 0.03921569 0.10196079],0
[0.3019608  0.33333334 0.3647059  ... 0.00784314 0.00784314 0.00392157],0
[0.8156863  0.8235294  0.8392157  ... 0.07843138 0.12941177 0.1254902 ],0
[0.41568628 0.59607846 0.57254905 ... 0.84705883 0.827451   0.8039216 ],0
[0.13725491 0.09803922 0.09411765 ... 0.5176471  0.47843137 0.5137255 ],0
[0.78431374 0.73333335 0.7411765  ... 0.39215687 0.39607844 0.4117647 ],0
[0.23137255 0.22745098 0.22745098 ... 0.23529412 0.14509805 0.2       ],0
[0.7058824  0.70980394 0.7137255  ... 0.67058825 0.7254902  0.5176471 ],0
[0.28235295 0.16078432 0.25490198 ... 0.16078432 0.42745098 0.34509805],0
[0.77254903 0.8039216  0.80784315 ... 0.3529412  0.38431373 0.39215687],0
[0.63529414 0.63529414 0.6313726  ... 0.21176471 0.16470589 0.14901961],0
[0.7058824  0.5882353  0.5568628  ... 0.23529412 0.24313726 0.29803923],0
[0.42352942 0.4745098  0.5882353  ... 0.4509804  0.4117647  0.42352942],0
[0.37254903 0.37254903 0.38431373 ... 0.4117647  0.37254903 0.36862746],0
[0.99607843 0.99607843 0.99607843 ... 0.15294118 0.28627452 0.2627451 ],0
[0.1882353  0.1882353  0.18039216 ... 0.5764706  0.4        0.3137255 ],0
[0.3137255  0.28627452 0.14117648 ... 0.9764706  0.9843137  0.98039216],0
[0.25490198 0.25490198 0.25882354 ... 0.11372549 0.1764706  0.3529412 ],0
[0.6666667  0.6509804  0.6392157  ... 0.4392157  0.45490196 0.45490196],0
[0.08235294 0.08627451 0.09411765 ... 0.49411765 0.47058824 0.4392157 ],0
[0.8117647  0.7372549  0.83137256 ... 0.32156864 0.25490198 0.11764706],0
[0.9137255  0.9098039  0.92156863 ... 0.18431373 0.18039216 0.1764706 ],0
[0.99607843 0.99607843 0.99607843 ... 0.16862746 0.16470589 0.1764706 ],0
[0.654902   0.7176471  0.69411767 ... 0.10980392 0.25882354 0.07058824],0
[0.28627452 0.30588236 0.31764707 ... 0.10980392 0.09411765 0.10980392],0
[0.1254902  0.12156863 0.12156863 ... 0.21568628 0.22352941 0.23529412],0
[0.4509804  0.4627451  0.5803922  ... 0.         0.         0.00392157],0
[0.85882354 0.8627451  0.8627451  ... 0.05490196 0.05490196 0.05098039],0
[0.44313726 0.47058824 0.49411765 ... 0.84313726 0.7607843  0.5529412 ],0
[0.37254903 0.36862746 0.36078432 ... 0.38039216 0.29803923 0.2509804 ],0
[0.02745098 0.05882353 0.00784314 ... 0.99607843 0.99607843 0.99607843],0
[0.62352943 0.62352943 0.62352943 ... 0.17254902 0.14901961 0.14117648],0
[0.05490196 0.0627451  0.09019608 ... 0.4392157  0.42745098 0.4       ],0
[0.26666668 0.28627452 0.30588236 ... 0.09803922 0.09411765 0.09803922],0
[0.18039216 0.1764706  0.18039216 ... 0.30588236 0.3137255  0.32941177],0
[0.5882353  0.5764706  0.5647059  ... 0.04705882 0.15294118 0.1764706 ],0
[0.39607844 0.39607844 0.39607844 ... 0.14509805 0.07450981 0.07058824],0
[0.23137255 0.23137255 0.22352941 ... 0.01568628 0.00784314 0.00392157],0
[0.15686275 0.1882353  0.2        ... 0.25882354 0.30588236 0.22745098],0
[0.3529412  0.34901962 0.3529412  ... 0.11764706 0.11372549 0.1254902 ],0
[0.42745098 0.4392157  0.44313726 ... 0.67058825 0.6666667  0.67058825],0
[0.38431373 0.44313726 0.42745098 ... 0.60784316 0.5647059  0.46666667],0
[0.05882353 0.11372549 0.16470589 ... 0.09411765 0.08627451 0.05490196],0
[0.1882353  0.1882353  0.19215687 ... 0.5921569  0.6784314  0.6745098 ],0
[0.25490198 0.28235295 0.43137255 ... 0.2        0.2627451  0.34509805],0
[0.9843137  0.9882353  0.99607843 ... 0.5294118  0.4509804  0.39215687],0
[0.8156863  0.8156863  0.8392157  ... 0.24705882 0.3019608  0.29803923],0
